Term,Last Name,First Name,Birth Date,Death Date
1,Washington,George,1732-02-22,1799-12-14
2,Adams,John,1735-10-30,1826-07-04
3,Jefferson,Thomas,1743-04-13,1826-07-04
4,Madison,James,1751-03-16,1836-06-28
5,Monroe,James,1758-04-28,1831-07-04
6,Adams,John Quincy,1767-07-11,1848-02-23
7,Jackson,Andrew,1767-03-15,1845-06-08
8,Van Buren,Martin,1782-12-05,1862-07-24
9,Harrison,William Henry,1773-02-09,1841-04-04
10,Tyler,John,1790-03-29,1862-01-18
11,Polk,James Knox,1795-11-02,1849-06-15
12,Taylor,Zachary,1784-11-24,1850-07-09
13,Fillmore,Millard,1800-01-07,1874-03-08
14,Pierce,Franklin,1804-11-23,1869-10-08
15,Buchanan,James,1791-04-23,1868-06-01
16,Lincoln,Abraham,1809-02-12,1865-04-15
17,Johnson,Andrew,1808-12-29,1875-07-31
18,Grant,Ulysses Simpson,1822-04-27,1885-07-23
19,Hayes,Rutherford Birchard,1822-10-04,1893-01-17
20,Garfield,James Abram,1831-11-19,1881-09-19
21,Arthur,Chester Alan,1829-10-05,1886-11-18
22,Cleveland,Grover,1837-03-18,1908-06-24
23,Harrison,Benjamin,1833-08-20,1901-03-13
24,Cleveland,Grover,1837-03-18,1908-06-24
25,McKinley,William,1843-01-29,1901-09-14
26,Roosevelt,Theodore,1858-10-27,1919-01-06
27,Taft,William Howard,1857-09-15,1930-03-08
28,Wilson,Woodrow,1856-12-28,1924-02-03
29,Harding,Warren Gamaliel,1865-11-02,1923-08-02
30,Coolidge,Calvin,1872-07-04,1933-01-05
31,Hoover,Herbert Clark,1874-08-10,1964-10-20
32,Roosevelt,Franklin Delano,1882-01-30,1945-04-12
33,Truman,Harry S.,1884-05-08,1972-12-26
34,Eisenhower,Dwight David,1890-10-14,1969-03-28
35,Kennedy,John Fitzgerald,1917-05-29,1963-11-22
36,Johnson,Lyndon Baines,1908-08-27,1973-01-22
37,Nixon,Richard Milhous,1913-01-09,1994-04-22
38,Ford,Gerald Rudolph,1913-07-14,2006-12-26
39,Carter,James Earl 'Jimmy',1924-10-01,NONE
40,Reagan,Ronald Wilson,1911-02-06,2004-06-05
41,Bush,George Herbert Walker,1924-06-12,2018-11-30 00:00:00
42,Clinton,William Jefferson 'Bill',1946-08-19,NONE
43,Bush,George Walker,1946-07-06,NONE
44,Obama,Barack Hussein,1961-08-04,NONE
45,Trump,Donald J,1946-06-14,NONE
46,Biden,Joseph Robinette,1942-11-10 00:00:00,NONE
